team,board,name,rating,season
!!,1,theme,2102,14
!!,2,itakeback,1834,14
!!,3,postit,1876,14
!!,4,Rolihlahla,1765,14
!!,5,Drotciv ,1690,14
!!,6,seiduck,1572,14
?,1,wookash_888,2280,14
?,2,WO_Schrodinger,1926,14
?,3,kip1981,1898,14
?,4,sgis ,1756,14
?,5,rhohit,1583,14
?,6,areeckx,1418,14
?? #,1,kenzaburo,2117,14
?? #,2,camcam52,1881,14
?? #,3,AlwxR,1843,14
?? #,4,JohnJPershing ,1688,14
?? #,5,RodrigoDiazDeVivar,1656,14
?? #,6,twiningm,1596,14
¡No en-pasarán!,1,badplayer_cm,2164,3
¡No en-pasarán!,2,ventricule,1913,3
¡No en-pasarán!,3,modakshantanu,1759,3
¡No en-pasarán!,4,Saschlars,1736,3
¡No en-pasarán!,5,CarlosMagnussen,1708,3
¡No en-pasarán!,6,alexmdaniel ,1700,3
‾\_(ツ)_/‾,1,mn8,2224,13
‾\_(ツ)_/‾,2,bufferunderrun,1971,13
‾\_(ツ)_/‾,3,Lynnpv,1816,13
‾\_(ツ)_/‾,4,Toffeeman,1733,13
‾\_(ツ)_/‾,5,Seb32,1660,13
‾\_(ツ)_/‾,6,Zher0 ,1554,13
1-move blunder,1,alex_slow,2331,7
1-move blunder,2,Ben_Yeomans2 ,2036,7
1-move blunder,3,Angstschreeuw,1856,7
1-move blunder,4,robinhood76,1831,7
1-move blunder,5,ethanpowell,1729,7
1-move blunder,6,Festivus,1406,7
1.g4 best by test,1,TheHaleguathor,2200,8
1.g4 best by test,2,S3pp ,1958,8
1.g4 best by test,3,Qualm,1953,8
1.g4 best by test,4,Raitonvsfuuton,1765,8
1.g4 best by test,5,Rescinded,1777,8
1.g4 best by test,6,kleyveu,1544,8
100 endgames you must lose,1,Sonata2,2226,14
100 endgames you must lose,2,S3pp,1981,14
100 endgames you must lose,3,scarff,1776,14
100 endgames you must lose,4,mdaw,1781,14
100 endgames you must lose,5,lukhas ,1699,14
100 endgames you must lose,6,Donkey-kong16,1462,14
2 Flagged 2 Furious,1,Ahedrista,2189,18
2 Flagged 2 Furious,2,Kampfwagenkanone,1996,18
2 Flagged 2 Furious,3,Raitonvsfuuton,1908,18
2 Flagged 2 Furious,4,Pendru,1908,18
2 Flagged 2 Furious,5,rodeo ,1886,18
