name,tournaments,rating
scarff,18,1805.888888888889
glbert,13,1700.923076923077
oddskill,13,1627.3076923076924
Forhavu ,12,1741.5833333333333
david-innes,11,1883.909090909091
Immortality,11,1699.6363636363637
Kraaft,11,1575.4545454545455
krispl,11,1926.8181818181818
Somethingpretentious,11,2027.4545454545455
TheRatRiverTrapper,11,1961.909090909091
CarlosMagnussen,10,1708.4
Donkey-kong16,10,1498
ErinYu,10,2301.2
f1nn33,10,2056.3
revoof,10,1876.5
Sonata2,10,2191.7
arbisto,9,2013.4444444444443
Delpire,9,1744.7777777777778
fradtheimpaler,9,1650.888888888889
garfield1980,9,1815.5555555555557
gokuba,9,1706.6666666666667
lakinwecker,9,1662.888888888889
pedropablo72,9,1726.888888888889
rampichino,9,1832.111111111111
s2004k1993,9,2132
Seb32 ,9,1750
TCGRIF,9,1783.5555555555557
Val1313,9,1824.888888888889
yago666,9,2033.111111111111
aliquantus,8,2198
Axp156,8,1975.125
badplayer_cm,8,2168.375
badplayer_cm ,8,2146.375
Endrawes0,8,1535.625
GogoYubari,8,1843.75
Jg777,8,1990.625
Lalaze,8,1647.875
lelouch_vi_brittania,8,2140.125
lukhas ,8,1666.75
morallygray,8,1979
Napoleon_Solo,8,1662.625
quirked,8,1999.125
Rolihlahla,8,1766.625
sgis ,8,1735.375
SpiteKnight,8,1745
tnan123 ,8,1709.125
Toffeeman,8,1694.625
Tsatsa64,8,1675.75
UpGoerFive,8,1511.125
Boviced,7,1744.4285714285713
CamelClutcher,7,2240
Dkillian,7,1873.857142857143
dmavro,7,1812.7142857142858
FelixNL ,7,2089.714285714286
GnarlyGoat ,7,1946.4285714285713
JoeyMellberg,7,1433.4285714285713
lukhas,7,1673.857142857143
Mariuseg,7,2134
OuterHeaven92,7,1985.857142857143
Raitonvsfuuton,7,1738.5714285714287
roso97,7,2001.5714285714287
shetoo,7,1776
sigvei,7,1703.2857142857142
Somethingpretentious ,7,2026.2857142857142
tephra,7,1741.2857142857142
VicPez,7,1893.2857142857142
Archone,6,1942.5
Assassin_in_White,6,2366.1666666666665
Atrophied,6,2330.3333333333335
Boomer34,6,1590.5
bufferunderrun,6,2003
ChessPatzerFrance,6,2051.1666666666665
colwem ,6,1763.1666666666667
Daveyjones01,6,1817.5
dose7781,6,1701.1666666666667
eie24 ,6,2112.3333333333335
Grzybozbur,6,2052.3333333333335
gucelli,6,1914.1666666666667
hetraie,6,2158
hicetnunc,6,2104.5
Highonpotnuse,6,1501.3333333333333
InfernalJumble ,6,1906
isaypotato,6,1876.5
izzie26,6,1742.5
jessehf,6,2117.5
jivey,6,1808
JuanSnow,6,1636.3333333333333
Knoddel,6,1975.6666666666667
kobol,6,2084.5
luvgangster ,6,1694.3333333333333
pepepibote,6,1635.6666666666667
pioki,6,1995.6666666666667
PsiMaster,6,1619.3333333333333
rsava,6,1421.5
Showboater,6,1779.6666666666667
stinsonite,6,1849.8333333333333
Theknug,6,1724
toni4127 ,6,1910
Urjah,6,2041.1666666666667
Vevochi,6,918.1666666666666
Wolf21,6,1775.5
adande1,5,1759
Anunzio,5,1770.6
BigEvo8,5,2030.2
Brundd ,5,1820.8
calcium237,5,1715
chennis,5,1889.8
chill5555,5,1839.6
ChukoDiman ,5,1746.2
cyanfish,5,2158.8
Dmathman,5,1722.8
dmsa_or,5,1729.6
dose7781 ,5,1636.4
DracoxVitae,5,1785.6
Drotciv,5,1669.8
eie24,5,2143.8
Festivus,5,1349.8
H0tblackDesiat0,5,1709
jmcampbell,5,1688
JohnJPershing,5,1643
KFerapont,5,2077.2
Kjar,5,2012.4
kostasvl ,5,1759
LostEarthworm,5,1954
lovlas,5,2424.6
Mahmut69,5,1933
mathijshuis,5,1882.8
MattyB,5,1766.6
mekumcu,5,1819.2
MoiRon,5,1995.2
MoistvonLipwig,5,2274.6
MrLegilimens,5,1859.6
mysonnevercallme,5,1935.4
okei,5,1967.6
paolone,5,1958.8
paolone ,5,1964
rgpchesspe,5,1852
riemannn,5,1885.2
rodeo,5,1835.8
Saxton47,5,1798.2
sgis,5,1781.2
Sonata2 ,5,2153.8
swohl19,5,1824.6
toj,5,1953
Tranzoo,5,1682.6
WarGoblin,5,1777.6
Zher0 ,5,1486.6
ahmt92,4,2033.75
Alegre_River,4,2065.75
arex,4,1711.5
astralfenix,4,2098.75
atil4,4,1851.25
BlackCat700,4,2058
Bletchlypark,4,1555.5
Brundd,4,1715.25
CaptNCarter,4,1962.25
chesshavoc ,4,1792
Chesspatzerswan,4,1936.75
ChristopherChabris,4,2268
colwem,4,1690
darubaru,4,1636
Delpire ,4,1701.25
droodjerky,4,1936
DurchNachtUndWind,4,1921
erv123,4,1499
EsolcNeveton ,4,1950.25
FischyVishy,4,2212.75
fisher56,4,1958.5
FlokiTheCat,4,2121.25
Footpath,4,1579.5
freddy267t,4,1633
GnarlyGoat,4,1948
halloway,4,1642
happy0,4,1574.75
Isachess,4,1894
Itzal,4,1992
Ixitixl,4,1600
jaivl,4,1932.5
jimmyd7777,4,1931.75
jivey ,4,1850.25
JPTriton,4,2063.5
kjfoster17,4,1815.75
kleyveu,4,1566.75
krzem,4,1943.75
lapetitemort,4,1709
Lez314,4,1563.75
litzr,4,1574
LucaGaglia73,4,1572
Lynnpv,4,1890
ma1ah,4,2092.5
MadLoKi,4,1742
MasterSalomon,4,1982.5
Merkava777,4,1985.25
MichaelTallovsky,4,2051.25
MilsBees,4,1632.75
mixxanber,4,1691
mn8,4,2252.75
momor,4,1641
Mooserohde,4,1598.25
Mooserohde ,4,1639
mronemore,4,2161
NoNameK,4,2151.25
Numberman768,4,1718.75
patk74,4,1867.25
Petruchio,4,1461.25
Petruchio ,4,1455
phantom567459,4,1895.75
phantom567459 ,4,2011.5
qrs,4,1607.25
R-Mena,4,1842.5
RealRobbert ,4,1778.25
rhohit,4,1475.25
RodrigoDiazDeVivar,4,1652.75
roso97 ,4,1948.25
rsava ,4,1440.5
S3pp,4,1926.5
sanganakam,4,1702
Scottm91,4,1694.5
Scrooge,4,2333
seius,4,1769
Sesquipedalism,4,1911
SuperVJ,4,2071
SycoraxCirce,4,2078.75
timothyha,4,2020
TMaus ,4,2044.25
TonyRo,4,2358
Tranzoo ,4,1760.75
tuncaboylu,4,1937
ubernoobek,4,1983.25
Unihedron,4,1815.75
x_0,4,1785.25
Acer30,3,1420.6666666666667
Aleksandr88_62,3,2032
alms,3,2263.3333333333335
AlwxR,3,1842.3333333333333
angborxley,3,1534.3333333333333
Aprentice1,3,1722
arensma,3,1680.6666666666667
asn8745,3,1476.6666666666667
ben_dubuque,3,1725.3333333333333
Benedictine,3,1927.3333333333333
bramminator,3,1865
brokenstones,3,1829
cactus,3,1810.3333333333333
callzumen,3,1503
cerulean,3,1980
checkmonk,3,1934.6666666666667
Cheesehead04,3,1665.3333333333333
chgreg,3,1865
crabbypat,3,2040
Cynosure,3,1897.3333333333333
Davbond,3,1473.3333333333333
dctrip13,3,1813.3333333333333
dearprudence,3,1904.6666666666667
deepaks1,3,2020.3333333333333
Dinomoomoo,3,1796.6666666666667
djcrisce,3,1660.6666666666667
doberm4n,3,1818.3333333333333
doganof,3,2210
DrOdnat,3,1718.6666666666667
Drotciv ,3,1646
ed84,3,1783.6666666666667
ethanpowell,3,1722
ExoPrimal,3,1864.3333333333333
FilP,3,1852.6666666666667
Finneri,3,2001
Flandoo,3,1458.3333333333333
Forhavu,3,1710.3333333333333
freefal,3,1757.3333333333333
gambytes,3,1724.3333333333333
gandalf013,3,1843.6666666666667
GetAGripWhitby,3,1880
Giampy62,3,1659
Goblin_Alchemist,3,1877.3333333333333
Hackov,3,1814.3333333333333
Hoikka,3,1786
horarum1,3,1501.6666666666667
HoudinicisMedicis,3,2029.3333333333333
Hsznet,3,1643
icendoan,3,1550.6666666666667
iedopadzert,3,1733
InfernalJumble,3,1908.3333333333333
IsaVulpes,3,2143
jacobhess,3,1759.6666666666667
jcarmody,3,1445
Jg777 ,3,1990.6666666666667
jmcginty15,3,1789
joecupojoe,3,1436.3333333333333
jsettle1,3,1302
jshholland,3,1555.3333333333333
Juke_3,3,1813.3333333333333
juldiaz280992,3,2064.3333333333335
jwwells42 ,3,1884
k-night-moves,3,1897.6666666666667
k-night-moves ,3,1916
K0stasP,3,1771
Kalandra,3,1649.6666666666667
kampsun,3,1425
Kilderis,3,2038
Kimaga,3,1899.3333333333333
kn960,3,1965
lakinwecker ,3,1714.6666666666667
leinax,3,1585
lenguyenthanh,3,1959.3333333333333
leo2dipikke,3,1679.6666666666667
Lethgo,3,1798.3333333333333
lichie,3,2143
linail,3,2143.3333333333335
llimllib,3,1697.3333333333333
Lord_axe,3,2038
lovlas ,3,2434.6666666666665
Luckyara,3,1611.3333333333333
lumenian,3,2055
madatadam,3,2079.6666666666665
makeareason,3,2239.3333333333335
matrix47,3,1981.6666666666667
maxivgc,3,1789.3333333333333
metalpawn,3,1769.3333333333333
Michael_hackett,3,1718
mingpro,3,1975.3333333333333
mmb4854,3,1716
mmgoo,3,1608
nadgob,3,1590.6666666666667
Nairwolf,3,1471.3333333333333
neilwang,3,1369
NiSn,3,1860
nork,3,1940
NOTFOXAnonymous ,3,1956.3333333333333
notmyjob88,3,1715
Ontheruy,3,1739
pawnsac101,3,1403
Pendru,3,1908
Philgood84,3,1679
Plasmacat,3,1851.6666666666667
pokerram,3,1806
Prune2000,3,1800.6666666666667
Prune2000 ,3,1829.3333333333333
Quadriculado,3,1791
rabioso,3,1741.6666666666667
Razorneck,3,2015
Rliu347,3,1694
robinhood76,3,1842.6666666666667
RobUmbra,3,1583.6666666666667
RodrigoDiazDeVivar ,3,1707.6666666666667
RookTown,3,1657.3333333333333
RottenPawn,3,1697.6666666666667
s2004k1993 ,3,2102.6666666666665
S3pp ,3,1908.3333333333333
sahkal,3,2057.6666666666665
sazik,3,1536.6666666666667
Seafoam,3,1804
Seb32,3,1697.3333333333333
SheepNL,3,2016.3333333333333
sivvaaa,3,1810
skillet,3,1478.3333333333333
slackwyrm,3,1975
slamjam,3,1682
SpeedCobra,3,2323
spuntachessTs,3,1321.3333333333333
Supermaths,3,2170.3333333333335
swandog,3,1796
Swgfskdf,3,1597
tadch,3,2090
thatoneguy1475,3,1635
Theino,3,2030
TMaus,3,1997.6666666666667
tnan123,3,1796.6666666666667
tomek188,3,2174.6666666666665
toni4127,3,1933.6666666666667
Toperoco ,3,1887.3333333333333
tothecloid,3,1695.3333333333333
Tsatsa64 ,3,1743.6666666666667
wpruitt14,3,1661.3333333333333
yago666 ,3,2018
Zher0,3,1501.6666666666667
a3516845,2,1920.5
abneric,2,1263
AbyssStaresBack,2,1731
aebe ,2,1610
agrav123,2,1665.5
agrav123 ,2,1755
Ahedrista,2,2189
akshayk06,2,1645
Alegre_River ,2,2087
aljopeljhan,2,1893
Alkibiades1,2,1502
amacy,2,1198.5
Anarschi,2,1738.5
anopows,2,1725.5
AraPawn ,2,1781
Archone ,2,1944.5
Arkensiel,2,1283.5
Arlberg ,2,1787.5
Artian12,2,2013
Artykom,2,2082
asian42,2,1818
Asinya,2,1887.5
Aurichalcite,2,1543
avas_goridze,2,1875
AvocadoPost,2,1752
Baksteen123,2,1690
Band_of_brothers,2,2000.5
bandessz,2,1995
barry_stipplebanger,2,1796.5
baybars,2,1611
Beelzebrox,2,1853
Ben_Yeomans2 ,2,2016.5
benlonnqvist,2,1548.5
Bjorgvin1,2,2050.5
Board_13,2,1545.5
bornacavrag,2,1339
Boviced ,2,1752
Braffin,2,1631.5
BranzaDubla,2,1843
ca7alyst81,2,1639
cacheyourdreams,2,1951
cammusbread,2,1476
carbon752,2,1587
carc,2,2199.5
caxmati,2,1549
cenotaph5,2,1784
Chaozu,2,2232.5
Chaskar,2,2004.5
checkmonk ,2,1950
Chess_Patzer ,2,1579.5
chessanalyst,2,2000
chessicstudent,2,1645
Chesspatzerswan ,2,1924
CitronSauvage,2,2043
conalboyle,2,1351.5
controversy,2,1623.5
corey561 ,2,1774.5
cosxdx,2,1944
cristoper,2,1762
ctorh,2,1786
CubesAndPi,2,1811
dahdah,2,1861
dakillian,2,1533
dauthdaert,2,1914.5
Daveyjones01 ,2,1771
david252525,2,2122
dctrip13 ,2,1909
dcwoods,2,1973.5
deaarthur,2,1220
deanmadden ,2,1565.5
demonicringworm,2,2014
dialh ,2,1462
dmitri31,2,2072.5
Dodeka,2,1764
dorhinj1,2,1990
DragonicKhaos,2,1864
drhack,2,2126
DrTodd,2,1773
dsjoerg,2,1728
ecstaticbroccoli,2,1973
EinarGregersen,2,1953.5
elixr,2,1728.5
Eman3226,2,1635
EmptySet2,2,1862
Ends_Mad,2,2198.5
epikfaal,2,1790
ErunaMe,2,1819
ethanpowell ,2,1776
explodingllama,2,1746
FairyTaleTime,2,1895
feyvel,2,1835
FischersOfMen,2,1780.5
FiveKnights,2,1846
Flaneur,2,2255.5
flgoyens,2,1686
FlokiTheCat ,2,2101.5
foreverweak,2,2382.5
foxxxy_coxxxy,2,1835.5
freefal ,2,1683.5
Fritzmann ,2,1610
Fudly,2,1529
furrykef ,2,1643
Fuzz0410,2,2043
gatorricky,2,1673
GCEDW2001 ,2,1920
ghostologist ,2,1504
Glad_He_Ate_Her,2,1608
GM1224,2,1441.5
Gnam,2,1808
god666,2,2177.5
GoropadniPoni,2,2136.5
grabhispieces,2,1904
