season,players,boards,rating
1,44,4,1711.7272727272727
2,110,5,1761.4454545454546
3,156,6,1818.8846153846155
4,144,6,1821.0972222222222
5,132,6,1857.3560606060605
6,144,6,1839.125
7,180,6,1855.25
8,156,6,1846.4615384615386
9,168,6,1819.4166666666667
10,156,6,1830.0576923076924
11,180,6,1794.8555555555556
12,240,6,1774.2625
13,156,6,1819.0128205128206
14,180,6,1823.9444444444443
15,180,6,1850.4055555555556
16,224,8,1817.111607142857
17,224,8,1832.4464285714287
18,192,8,1829.1979166666667
19,224,8,1857.982142857143
